Variety_name,Individual,C13,C,N,C:N,stom_length_1.1,stom_length_1.2,stom_length_1.3,stom_length_1.4,stom_length_1.5,image_area_1,stom_number_1,stom_length_2.1,stom_length_2.2,stom_length_2.3,stom_length_2.4,stom_length_2.5,image_area_2,stom_number_2
Pinotage,32.8,-29.4,2.1,42,19.9,11.575,18.827,15.26,13.196,12.405,0.603125985,124,17.073,14.681,17.729,10.686,12.551,0.603125985,111
Refosco,28.7,-28.5,2.1,42.6,20.2,15.258,12.602,13.91,16.998,14.306,0.603125985,100,14.825,19.999,14.357,18.565,10.463,0.603125985,90
Refosco,28.8,,,,,17.304,17.135,11.737,14.013,17.54,0.603125985,82,11.529,14.251,21.309,15.247,13.035,0.603125985,80
Rka,32.5,-30.6,2,42.4,21.2,16.144,16.58,14.7,16.418,15.866,0.603125985,146,18.467,16.023,18.262,13.505,18.336,0.603125985,170
Rka,32.6,,,,,15.384,14.632,12.646,18.156,14.508,0.603125985,116,,,,,,,
Rka,36.6,,,,,,,,,,,,23.629,20.293,19.317,27.267,20.773,0.603125985,136
Rotgipfler,22.1,-28.6,1.5,42.1,28.1,12.371,16.959,13.303,17.006,15.658,0.603125985,108,10.8,14.357,11.737,13.279,13.909,0.603125985,68
Rotgipfler,22.2,,,,,,,,,,,,,,,,,,
Roussanne,19.7,-30.2,1.8,43.4,23.6,12.667,11.562,19.286,14.27,10.98,0.603125985,107,19.686,18.656,14.54,15.747,18.805,0.603125985,100
Roussanne,19.8,,,,,13.278,12.608,11.454,21.675,13.278,0.603125985,124,12.276,15.419,10.56,12.565,11.909,0.603125985,113
Rub,40.9,-29.1,2.4,44.9,18.9,13.199,10.969,11.774,16.209,13.685,0.603125985,156,19.768,16.319,13.724,15.854,15.834,0.603125985,159
Rub,40.1,-31.3,2.9,40.1,13.6,16.146,15.245,19.286,14.149,12.498,0.603125985,97,14.692,14.259,19.905,14.367,18.697,0.603125985,97
San,29.1,-29.1,1.9,43.3,23.2,15.753,13.638,14.431,14.975,10.378,0.603125985,73,,,,,,,
San,29.2,,,,,,,,,,,,,,,,,,
Sangiovese,26.5,-27.4,1.8,41.9,22.7,19.858,8.419,16.146,15.174,8.892,0.603125985,99,12.313,18.386,11.103,13.189,15.352,0.603125985,94
Sangiovese,26.6,,,,,,,,,,,,,,,,,,
Sauvignon_blanc,16.1,-29.2,1.9,40.7,21.9,19.217,13.275,15.817,16.781,19.071,0.603125985,91,21.976,16.941,13.889,20.018,17.917,0.603125985,78
Sauvignon_blanc,16.2,,,,,18.809,12.798,19.428,13.876,12.602,0.603125985,75,13.864,11.024,14.205,13.735,22.475,0.603125985,92
Schiopettino,29.3,-29.8,1.8,42.7,23.2,11.254,11.947,12.434,17.837,16.51,0.603125985,97,20.046,11.194,16.917,17.466,14.378,0.603125985,82
Schiopettino,29.4,,,,,10.717,15.734,18.607,16.965,12.468,0.603125985,87,15.649,18.925,12.782,17.339,21.529,0.603125985,79
Syrah,19.9,-27.7,2.4,43.8,18.6,12.337,13.434,11.797,10.162,12.719,0.603125985,110,12.24,13.815,16.973,14.782,14.886,0.603125985,120
Syrah,19.1,-29.4,2,42.5,21.6,,,,,,,,,,,,,,
Szagos_feher,23.7,-29.1,1.7,41.8,24.1,15.282,19.624,10.371,16.631,10.763,0.603125985,127,16.051,18.635,17.063,11.626,14.857,0.603125985,110
Szagos_feher,23.8,,,,,11.059,16.144,13.217,10.617,14.499,0.603125985,109,9.22,14.748,11.657,13.516,13.33,0.603125985,119
Tempranillo,35.3,-30.8,2.3,40.7,18,16.568,21.354,16.207,19.678,21.516,0.603125985,91,17.88,18.036,19.354,15.91,16.08,0.603125985,97
Tempranillo,35.4,,,,,,,,,,,,,,,,,,
Toc,29.7,-28.2,2,42.2,21.6,12.007,13.138,15.317,15.859,10.821,0.603125985,90,14.872,11.989,13.92,13.134,14.845,0.603125985,80
Toc,29.8,,,,,19.812,18.101,14.991,17.308,18.348,0.603125985,134,16.825,15.774,11.189,15.935,13.178,0.603125985,143
Ung,17.1,,,,,,,,,,,,,,,,,,
Ung,17.2,-29.1,2.5,39.6,15.9,23.191,16.839,14.441,21.769,18.124,0.603125985,66,18.938,15.926,18.418,19.694,20.524,0.603125985,67
Valdepenas,20.1,,,,,,,,,,,,,,,,,,
Valdepenas,20.2,-30.4,1.8,42,23.3,16.614,18.179,14.889,13.265,15.639,0.603125985,84,18.222,15.067,15.37,17.627,17.995,0.603125985,120
Ver,38.7,-30.9,2.1,41.9,19.9,19.898,21.75,20.273,20.179,20.258,0.603125985,92,28.245,20.273,17.947,18.773,18.503,0.603125985,101
Ver,38.8,-29.4,1.9,41.2,21.6,,,,,,,,,,,,,,
Viognier,20.3,,,,,14.782,16.139,12.263,18.024,15.859,0.603125985,81,16.009,13.955,9.866,13.292,16.386,0.603125985,79
Viognier,20.4,-27.8,1.7,40.9,24.2,17.864,15.276,14.364,14.248,17.006,0.603125985,106,20.068,17.064,13.955,18.433,17.064,0.603125985,94
Zinfandel/Primitivo,32.3,-29.3,1.8,41.6,22.6,15.594,15.128,12.674,16.526,16.528,0.603125985,121,15.568,17.645,15.459,10.396,14.595,0.603125985,116
Zinfandel/Primitivo,32.4,,,,,18.796,18.936,20.586,14.251,20.421,0.603125985,113,15.724,19.987,17.109,11.508,17.406,0.603125985,112
