VARIETY,ROW,PLANT,year,month,day,Leaf_potential,Stem_potential,Leaf_area1,Leaf_area2,leaf_weight1_mg,Leaf_weight2_mg,L1stom_length_1,L1stom_length_2,L1stom_length_3,L1stom_length_4,L1stom_length_5,L1image_area,L1stom_number,L2stom_length_1,L2stom_length_2,L2stom_length_3,L2stom_length_4,L2stom_length_5,L2image_area,L2stom_number
Cabernet_franc,13,9,2015,4,24,8.1,5.75,22.284,,790,,,,,,,,,,,,,,,
Cabernet_franc,13,9,2015,6,15,8.9,4.6,,,1133,694,23.359,19.517,16.859,21.695,17.673,585630.249,91,,,,,,,
Cabernet_franc,13,9,2015,6,19,8,4.5,,,1631,618,,,,,,,,,,,,,,
Cabernet_franc,13,9,2015,8,4,7.2,4.6,,,,,20.519,24.129,15.178,14.903,19.015,573389.179,91,,,,,,,
Cabernet_franc,13,9,2015,8,6,9,5.75,,,,,22.613,20.629,20.497,14.497,22.798,584388.192,104,,,,,,,
Cabernet_franc,13,10,2015,4,22,,4.4,,,,,,,,,,,,,,,,,,
Cabernet_franc,13,10,2015,4,23,7.1,4.8,22.788,,861,,,,,,,,,,,,,,,
Cabernet_franc,13,10,2015,6,16,9.6,6.1,,,978,657,,,,,,,,,,,,,,
Cabernet_franc,13,10,2015,6,17,9.3,6,,,724,520,20.954,19.686,22.087,29.155,23.379,585630.249,58,24.416,19.959,21.869,22.966,30.213,585630.249,67
Cabernet_franc,13,10,2015,8,5,11.8,7,,,,,23.647,22.994,21.967,20.747,23.354,584388.192,71,21.279,21.67,25.524,27.297,27.811,584388.192,65
Cabernet_franc,13,10,2015,8,7,6.8,4,,,,,33.059,25.791,28.825,24.951,24.003,584388.192,60,,,,,,,
Cabernet_sauvignon,14,1,2015,4,16,10.1,7.9,,,485,,,,,,,,,,,,,,,
Cabernet_sauvignon,14,1,2015,4,19,3.4,2.9,,,,,,,,,,,,,,,,,,
Cabernet_sauvignon,14,1,2015,4,20,,,18.473,,586,,,,,,,,,,,,,,,
Cabernet_sauvignon,14,1,2015,4,21,8.1,5.9,18.334,,628,,,,,,,,,,,,,,,
Cabernet_sauvignon,14,1,2015,4,22,,4.8,,,,,,,,,,,,,,,,,,
Cabernet_sauvignon,14,1,2015,4,23,8.6,6.1,17.419,,577,,,,,,,,,,,,,,,
Cabernet_sauvignon,14,1,2015,4,24,7.8,5.8,16.457,,602,,,,,,,,,,,,,,,
Cabernet_sauvignon,14,1,2015,6,15,6.8,4.9,,,593,565,,,,,,,,,,,,,,
Cabernet_sauvignon,14,1,2015,6,16,6.2,5.4,,,1230,1036,,,,,,,,,,,,,,
Cabernet_sauvignon,14,1,2015,8,4,8.5,6.3,,,,,22.274,17.557,18.407,17.826,17.579,573389.179,90,,,,,,,
Cabernet_sauvignon,14,1,2015,8,5,6.5,7.8,,,,,27.572,26.646,24.419,21.766,29.133,584388.192,89,,,,,,,
Cabernet_sauvignon,14,1,2015,8,6,9.9,7,,,,,22.91,23.587,17.901,21.315,19.107,584388.192,90,25.885,26.738,27.575,25.085,27.835,585630.249,65
Cabernet_sauvignon,14,1,2015,8,7,7.4,5.8,,,,,19.65,25.539,25.637,23.712,25.833,584388.192,84,23.033,23.773,21.447,16.518,23.4,584388.192,54
