"month","day","row_plant","variety","Photo","Cond","wue"
4,23,"14.1","Cabernet_sauvignon",13.4,0.125,107.2
4,23,"14.1","Cabernet_sauvignon",13.5,0.134,100.746268656716
4,23,"14.1","Cabernet_sauvignon",13.8,0.139,99.2805755395683
4,23,"14.1","Cabernet_sauvignon",13.8,0.144,95.8333333333333
4,23,"15.4","Merlot",14.5,0.141,102.836879432624
4,23,"15.4","Merlot",14.3,0.151,94.7019867549669
4,23,"15.4","Merlot",14.3,0.157,91.0828025477707
4,23,"15.4","Merlot",14.1,0.16,88.125
4,23,"16.2","Sauvignon_blanc",15.2,0.156,97.4358974358974
4,23,"16.2","Sauvignon_blanc",15.3,0.168,91.0714285714286
4,23,"16.2","Sauvignon_blanc",15.3,0.174,87.9310344827586
4,23,"16.2","Sauvignon_blanc",15.2,0.18,84.4444444444444
4,23,"16.2","Sauvignon_blanc",15.3,0.182,84.0659340659341
4,23,"16.2","Sauvignon_blanc",15.4,0.184,83.695652173913
4,23,"16.2","Sauvignon_blanc",15.3,0.184,83.1521739130435
4,23,"17.2","UngniBlanc_Trebbiano",8.39,0.112,74.9107142857143
4,23,"17.2","UngniBlanc_Trebbiano",8.54,0.119,71.7647058823529
4,23,"17.2","UngniBlanc_Trebbiano",8.59,0.123,69.8373983739837
4,23,"17.2","UngniBlanc_Trebbiano",8.66,0.127,68.1889763779528
4,23,"17.2","UngniBlanc_Trebbiano",8.76,0.129,67.906976744186
4,23,"17.2","UngniBlanc_Trebbiano",8.74,0.131,66.7175572519084
4,23,"17.2","UngniBlanc_Trebbiano",8.61,0.133,64.7368421052632
4,23,"17.2","UngniBlanc_Trebbiano",8.87,0.134,66.1940298507463
4,23,"17.2","UngniBlanc_Trebbiano",8.74,0.136,64.2647058823529
4,23,"17.10","Carignane",12.3,0.115,106.95652173913
4,23,"17.10","Carignane",12.3,0.123,100
4,23,"17.10","Carignane",12.2,0.127,96.0629921259843
4,23,"17.10","Carignane",12.3,0.132,93.1818181818182
4,23,"18.6","Durif",12.4,0.103,120.388349514563
4,23,"18.6","Durif",12.4,0.112,110.714285714286
4,23,"18.6","Durif",12.6,0.116,108.620689655172
4,23,"18.6","Durif",12.6,0.12,105
4,23,"18.8","Marsanne",13.1,0.11,119.090909090909
4,23,"18.8","Marsanne",13,0.118,110.169491525424
4,23,"18.8","Marsanne",13,0.123,105.691056910569
4,23,"18.8","Marsanne",13,0.126,103.174603174603
4,23,"19.10","Syrah",9.94,0.155,64.1290322580645
4,23,"19.10","Syrah",9.83,0.158,62.2151898734177
4,23,"19.10","Syrah",10.4,0.148,70.2702702702703
4,23,"19.10","Syrah",10.1,0.148,68.2432432432432
4,23,"19.10","Syrah",10.2,0.149,68.4563758389262
4,23,"19.10","Syrah",10.1,0.15,67.3333333333333
4,23,"20.2","Valdepenas",12.7,0.147,86.3945578231292
4,23,"20.2","Valdepenas",12.9,0.152,84.8684210526316
4,23,"20.2","Valdepenas",12.8,0.157,81.5286624203822
4,23,"20.2","Valdepenas",12.8,0.16,80
4,23,"20.2","Valdepenas",12.8,0.166,77.1084337349398
4,23,"20.2","Valdepenas",12.7,0.167,76.0479041916168
4,23,"20.2","Valdepenas",12.8,0.167,76.6467065868263
4,23,"20.6","Gewurtztraminer",16.2,0.273,59.3406593406593
4,23,"20.6","Gewurtztraminer",16.2,0.29,55.8620689655172
4,23,"20.6","Gewurtztraminer",16.1,0.3,53.6666666666667
4,23,"20.6","Gewurtztraminer",16.1,0.309,52.1035598705502
4,23,"22.8","Furmint",17.9,0.3,59.6666666666667
4,23,"22.8","Furmint",18.2,0.317,57.4132492113565
4,23,"22.8","Furmint",17.9,0.329,54.4072948328267
4,23,"22.8","Furmint",18,0.337,53.4124629080119
4,23,"22.8","Furmint",18.4,0.332,55.4216867469879
4,23,"22.8","Furmint",18.3,0.335,54.6268656716418
4,23,"22.8","Furmint",18.5,0.337,54.8961424332344
4,23,"22.8","Furmint",18.1,0.343,52.7696793002915
4,23,"22.8","Furmint",18.2,0.342,53.2163742690058
4,23,"23.8","Szagos_feher",16.6,0.28,59.2857142857143
4,23,"23.8","Szagos_feher",16.7,0.295,56.6101694915254
4,23,"23.8","Szagos_feher",16.5,0.309,53.3980582524272
4,23,"23.8","Szagos_feher",16.6,0.315,52.6984126984127
4,23,"24.10","Dolcetto",13.4,0.127,105.511811023622
4,23,"24.10","Dolcetto",13.3,0.132,100.757575757576
4,23,"24.10","Dolcetto",13.1,0.156,83.974358974359
4,23,"24.10","Dolcetto",13.3,0.154,86.3636363636364
4,23,"25.10","Nebbiolo",15.3,0.21,72.8571428571429
4,23,"25.10","Nebbiolo",15.5,0.221,70.1357466063348
4,23,"25.10","Nebbiolo",15.5,0.229,67.6855895196506
4,23,"25.10","Nebbiolo",15.8,0.235,67.2340425531915
4,23,"25.10","Nebbiolo",15.7,0.24,65.4166666666667
4,23,"25.10","Nebbiolo",15.7,0.242,64.8760330578512
4,21,"12.3","Auxerrois",16.9,0.39,43.3333333333333
4,21,"12.3","Auxerrois",17,0.392,43.3673469387755
4,21,"12.3","Auxerrois",17.1,0.393,43.5114503816794
4,21,"12.3","Auxerrois",17,0.396,42.9292929292929
4,21,"12.3","Auxerrois",16.9,0.373,45.3083109919571
4,21,"12.3","Auxerrois",17.1,0.374,45.7219251336898
